i,timestamp_ms,close,log_return,regime_label,signal_valid,confidence,conviction,position_size,signed_position_size,execution_side,engine_status,expected_volatility,edge_score,prob_bull,prob_bear,prob_crisis
103,1701397380000,39033.4,-1.2809460555345108e-05,BEAR,True,0.9999999999979969,0.9999999999477985,0.0,0.0,flat,OK,0.010756038096201397,0.11989889629271894,1.0007896423445248e-12,0.9999999999979969,1.0023689270315841e-12
104,1701397440000,39027.2,-0.00015885094434429386,BEAR,True,0.9999999999979953,0.9999999999477579,0.0,0.0,flat,OK,0.010755784086145002,0.11591911703417518,1.0011928031668988e-12,0.9999999999979953,1.0035784094987045e-12
105,1701397560000,39032.9,0.00014604131970464334,BEAR,True,0.9999999999975276,0.9999999999360832,0.0,0.0,flat,OK,0.01075554577085274,0.1127352936273402,1.0010965109170393e-12,0.9999999999975276,1.4713696084442084e-12
106,1701397620000,39033.9,2.561908519519639e-05,BEAR,True,0.9999999999979967,0.9999999999477951,0.0,0.0,flat,OK,0.010755281602753365,0.11018823490187218,1.0008222983465337e-12,0.9999999999979967,1.0024668950376095e-12
107,1701397980000,39029.2,-0.00012041540768136621,BEAR,True,0.9999999999746334,0.9999999994097399,0.0,0.0,flat,OK,0.01075507793025831,0.10815058792149779,1.0009039319125165e-12,0.9999999999746334,2.4365705257357377e-11
108,1701398040000,39040.0,0.0002766776159842715,BEAR,True,0.9999998517597153,0.9999977432917786,0.0,0.0,flat,OK,0.01075504407367494,0.10652047033719825,1.0020793961185739e-12,0.9999998517597153,1.4823928269637673e-07
109,1701398100000,39048.6,0.000220262625652633,BEAR,True,0.9999999999979934,0.9999999999477114,0.0,0.0,flat,OK,0.010754944127395784,0.1052163762697586,1.0016547032119443e-12,0.9999999999979934,1.0049641096338458e-12
110,1701398160000,39067.7,0.0004890144663949803,BEAR,True,0.9999997874735604,0.9999968343351257,0.0,0.0,flat,OK,0.010755313746733344,0.1041731010158069,1.0036811070360533e-12,0.9999997874735604,2.1252543596699097e-07
111,1701398280000,39063.1,-0.00011775125828261293,BEAR,True,0.9999999999979889,0.9999999999476001,0.0,0.0,flat,OK,0.01075509727380922,0.10333848081264557,1.0027604648901535e-12,0.9999999999979889,1.008281394668474e-12
112,1701398340000,39065.7,6.655676270359266e-05,BEAR,True,0.9999999996054804,0.9999999918586542,0.0,0.0,flat,OK,0.010754884155731462,0.10267078465011648,1.0020698407739577e-12,0.9999999996054804,3.9351764300976323e-10
113,1701398520000,39067.7,5.119449557907632e-05,BEAR,True,0.9999999924176154,0.9999998640434846,0.0,0.0,flat,OK,0.010754689391535222,0.10213662772009319,1.0015521080375701e-12,0.9999999924176154,7.581383039644677e-09
114,1701398640000,39109.8,0.0010770363357666551,BEAR,True,0.9999935816715764,0.999924306213584,0.0,0.0,flat,OK,0.010757304640675612,0.2817093021760746,1.0081433999863306e-12,0.9999935816715764,6.418327415529772e-06
115,1701398700000,39165.7,0.0014282887877569855,BEAR,True,0.9999999999559486,0.9999999989993723,0.0,0.0,flat,OK,0.010761742357636678,0.4253674417408597,1.010828158941878e-12,0.9999999999559486,4.304061548536053e-11
116,1701398760000,39151.5,-0.00036262788137479777,BEAR,True,0.9999999999979676,0.9999999999470615,0.0,0.0,flat,OK,0.010761095724683235,0.3602939533926878,1.0081189332927649e-12,0.9999999999979676,1.0243567998763234e-12
117,1701398820000,39160.5,0.0002298498324554676,BEAR,True,0.9999999898224711,0.9999998202407425,0.0,0.0,flat,OK,0.010760362449240753,0.3082351627141503,1.006086233820004e-12,0.9999999898224711,1.0176522881408706e-08
