bar_idx,ts_ms,close,action,confidence,state,regime,ofi_z,hawkes,prob_above,prob_below
222,1701405720000,39397.5,HOLD,0.0,NORMAL,RANGING,-0.0829,0.9,0.5,0.5
223,1701405780000,39392.5,HOLD,0.0,NORMAL,RANGING,-0.1657,0.3,0.5,0.5
224,1701405840000,39365.6,HOLD,0.0,NORMAL,RANGING,-0.2776,0.6,0.5,0.5
225,1701405900000,39351.8,HOLD,0.0,NORMAL,RANGING,-0.1851,0.6,0.5,0.5
226,1701405960000,39351.8,HOLD,0.0,NORMAL,RANGING,-0.1016,0.1,0.5,0.5
227,1701406020000,39351.7,HOLD,0.0,NORMAL,RANGING,-0.3956,0.7,0.5,0.5
228,1701406080000,39362.8,HOLD,0.0,NORMAL,RANGING,0.1797,0.8,0.5,0.5
229,1701406140000,39349.0,HOLD,0.0,NORMAL,RANGING,-3.6754,1.1,0.5,0.5
230,1701406200000,39350.0,HOLD,0.0,NORMAL,RANGING,0.1079,0.2,0.5,0.5
231,1701406260000,39334.4,HOLD,0.0,NORMAL,RANGING,-0.1755,0.5,0.5,0.5
232,1701406320000,39319.0,SELL,0.6679,PRE_SWEEP_BUILDUP,RANGING,-0.1436,1.7,0.2673,0.7327
233,1701406380000,39331.0,HOLD,0.0,NORMAL,RANGING,2.2071,1.2,0.5,0.5
234,1701406440000,39350.0,HOLD,0.0,NORMAL,RANGING,-0.1442,0.4,0.5,0.5
235,1701406500000,39340.7,HOLD,0.0,NORMAL,RANGING,1.9414,0.7,0.5,0.5
236,1701406560000,39352.1,HOLD,0.0,NORMAL,RANGING,-0.0585,0.7,0.5,0.5
237,1701406620000,39372.9,HOLD,0.0,NORMAL,RANGING,0.3203,0.5,0.5,0.5
238,1701406680000,39367.9,BUY,0.642,PRE_SWEEP_BUILDUP,RANGING,-0.2268,1.5,0.699,0.301
239,1701406740000,39359.9,HOLD,0.0,NORMAL,RANGING,-0.0903,0.3,0.5,0.5
240,1701406800000,39340.7,HOLD,0.0,NORMAL,RANGING,-0.0007,0.5,0.5,0.5
